Designator,Mid X,Mid Y,Rotation,Layer
A1,102.61,-76.045,0.0,top
B1,118.7,-97.75,90.0,top
B2,127.25,-97.75,90.0,top
I2C,122.69,-75.0,90.0,top
LED1,117.0,-65.005,180.0,top
LED2,121.0,-65.005,180.0,top
LED3,125.0,-65.005,180.0,top
LED4,129.0,-65.005,180.0,top
M1,123.19,-84.54,0.0,top
NEOPIX1,84.46,-61.5,90.0,top
NEOPIX2,84.46,-67.0,90.0,top
NEOPIX3,84.5,-72.5,90.0,top
NEOPIX4,84.58,-78.0,90.0,top
NEOPIX5,84.5,-83.5,90.0,top
NEOPIX6,84.58,-89.0,90.0,top
NEOPIX7,84.5,-95.0,90.0,top
NEOPIX8,84.5,-101.0,90.0,top
R1,117.0,-55.31,270.0,top
R2,121.0,-55.31,270.0,top
R3,125.0,-55.31,270.0,top
R4,129.0,-55.31,270.0,top
